q,q,71630143,71695587,track,+
s,s,69566321,69627263,track,+
0,q,71643859,71644474,HSP,+
1,s,69603445,69604060,HSP,+
2,q,71684145,71685124,HSP,+
3,s,69617856,69618816,HSP,+
4,q,71685349,71685832,HSP,+
5,s,69619048,69619529,HSP,+
6,q,71639816,71640115,HSP,+
7,s,69599195,69599494,HSP,+
8,q,71640785,71640960,HSP,+
9,s,69600281,69600456,HSP,+
10,q,71640196,71640409,HSP,+
11,s,69599662,69599875,HSP,+
12,q,71644819,71644971,HSP,+
13,s,69604569,69604721,HSP,+
14,q,71643414,71643537,HSP,+
15,s,69602949,69603072,HSP,+
16,q,71643652,71643775,HSP,+
17,s,69603194,69603317,HSP,+
18,q,71659661,71659793,HSP,+,name,#ff0000
19,s,69612885,69613020,HSP,+,name,#ff0000
20,q,71641606,71641682,HSP,+,name,#ff0000
21,s,69601155,69601231,HSP,+,name,#ff0000
22,q,71682981,71683057,HSP,+,name,#ff0000
23,s,69616615,69616691,HSP,+,name,#ff0000
24,q,71644637,71644723,HSP,+,name,#ff0000
25,s,69604328,69604414,HSP,+
26,q,71683601,71683712,HSP,+
27,s,69617362,69617473,HSP,+
28,q,71644472,71644565,HSP,+
29,s,69604146,69604239,HSP,+
30,q,71683256,71683341,HSP,+
31,s,69617024,69617109,HSP,+
32,q,71683426,71683518,HSP,+
33,s,69617192,69617284,HSP,+
34,q,71683806,71683907,HSP,+
35,s,69617565,69617666,HSP,+
36,q,71634903,71634953,HSP,+
37,s,69594355,69594405,HSP,+
38,q,71659445,71659530,HSP,+
39,s,69612582,69612670,HSP,+
40,q,71680969,71681010,HSP,+
41,s,69613443,69613484,HSP,+
42,q,71685157,71685222,HSP,+
43,s,69618878,69618946,HSP,+
44,q,71686696,71686737,HSP,+
45,s,69620319,69620360,HSP,+
46,q,71658964,71659034,HSP,+
47,s,69612026,69612096,HSP,+
48,q,71686782,71686834,HSP,+
49,s,69620390,69620442,HSP,+
50,q,71682815,71682856,HSP,+
51,s,69616459,69616500,HSP,+
52,q,71682553,71682583,HSP,+
53,s,69616238,69616268,HSP,+
54,q,71687964,71687991,HSP,+
55,s,69621159,69621186,HSP,+
56,q,71682606,71682659,HSP,+
57,s,69616299,69616352,HSP,+
58,q,71642112,71642154,HSP,+
59,s,69601548,69601587,HSP,+
60,q,71633601,71633621,HSP,+
61,s,69592311,69592331,HSP,+
62,q,71637782,71637810,HSP,-
63,s,69580996,69580968,HSP,-
